parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,season,team
alpha[28],2.3774625905063465,0.053767426101504034,3.064530131920801,-4.244636867148659,0.5951493017490583,2.553728275034419,4.191335741854301,8.367525939232943,3248.5480735209485,1.0007855625731228,2007,LA
alpha[29],4.004925579197698,0.05567500242092696,3.024238198908959,-1.7750422311067986,2.202126599829649,3.6330768941630955,5.704893733783862,10.966976085066559,2950.607894691315,0.9994124993999255,2007,LAC
alpha[30],1.9552917704760047,0.057407663476978045,3.078555880950874,-5.1581600708678,0.2610368256151191,2.272516929951763,3.8818424769735147,7.524466405248982,2875.771265323084,0.9991951166770534,2007,LV
alpha[31],4.349423358325675,0.0723624599371192,3.0868450331040416,-1.2265973152490353,2.3825822061879682,3.9918672011345055,6.098068070213342,11.526310439661108,1819.713473044204,0.9996899755829559,2007,PIT
alpha[32],5.619218087258294,0.09956673569563801,3.5423663118035926,0.284003207375588,3.1327532482222358,4.93381563954504,7.6634833942243095,14.260208286881266,1265.7804978647841,1.0022151127817154,2007,HOU
alpha_mean,2.876537837979089,0.02046012539988745,1.0232005806994304,0.8217555019114181,2.2253426561732574,2.902505403420051,3.5148935298905064,4.924799471987522,2500.949794563975,0.9997392128816508,2007,ALL
alpha_sigma,3.2748903803457172,0.07347291487692807,1.7344738561592223,0.2657807448337086,1.9673299627327059,3.237191610594553,4.498794156944865,6.685132543312633,557.2896487393664,1.000737151667758,2007,ALL
alpha[1],3.297503512180033,0.06528502468049352,3.46822976192604,-3.3523087758459975,1.0968147081303359,3.14032831282147,5.417684618694926,10.513253997959177,2822.205125057219,0.9994515748118262,2008,ATL
alpha[2],2.440488472630923,0.061085228420652775,3.469383915509059,-4.544330510360316,0.3431705291726854,2.490628987581507,4.586351549459103,9.312274191635874,3225.7619663269656,0.9992806097703952,2008,CHI
alpha[3],1.0756023790731348,0.07320154164081345,3.482826529277562,-6.312539861949938,-1.0289458916345524,1.4057180286637152,3.383268438034964,7.582085619221885,2263.722736198066,1.000545596618212,2008,CLE
